X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
"-8577511.02284496,4727872.67519607,Grandview & Blueridge Ave,classic,08265262-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:21+00,7,0,8,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",44,DCA-CABI,,39.043272,-77.053085,2024/10/22 07:07:28+00,217277819"
"-8583911.14695801,4697191.70042853,Kenmore Ave & Seminary Rd,classic,347b72fa-4ae2-4017-a9bf-344a122cddeb,,2024/10/22 07:05:22+00,1,0,10,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,""KEY,CREDITCARD"",40,DCA-CABI,,38.828887,-77.110588,2024/10/22 07:07:28+00,217277820"
"-8577172.46556984,4710731.99729827,Calvert St & Woodley Pl NW,classic,0825b8f0-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:15+00,12,0,6,5,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.923583,-77.050046,2024/10/22 07:07:28+00,217277821"
"-8575433.54456431,4708760.86396995,15th & P St NW,classic,0824791a-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:14+00,8,0,10,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.909801,-77.034427,2024/10/22 07:07:28+00,217277822"
"-8588616.66871583,4703612.98958854,Eden Center,classic,a016ea6f-0d7f-45fb-b8ac-0cfe22cd972a,,2024/10/22 07:05:28+00,2,0,10,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,""KEY,CREDITCARD"",152,DCA-CABI,,38.873808,-77.152849,2024/10/22 07:07:28+00,217277823"
"-8612612.99064201,4715273.73446522,Reston YMCA,classic,08263f4a-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:29+00,0,0,13,2,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",104,DCA-CABI,,38.955314,-77.368416,2024/10/22 07:07:28+00,217277824"
"-8575680.9067621,4711092.33858685,16th & Harvard St NW,classic,ae007456-14ad-4619-a92e-e3a40f93a412,,2024/10/22 07:05:29+00,15,0,4,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.926102,-77.03665,2024/10/22 07:07:28+00,217277825"
"-8574395.17196552,4713339.78094092,9th & Upshur St NW,classic,08251532-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:22+00,11,0,4,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.9418,-77.0251,2024/10/22 07:07:28+00,217277826"
"-8577226.52432019,4699354.04282464,Potomac Ave & 35th St S,classic,0824e2e3-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:27+00,0,0,15,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",41,DCA-CABI,,38.844015,-77.050537,2024/10/22 07:07:28+00,217277827"
"-8569454.59045888,4704849.53094445,17th St & Potomac Ave SE / Congressional Cemetery ,classic,1941813138517442794,,2024/10/22 07:05:27+00,16,0,3,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",,DCA-CABI,,38.882458,-76.980715,2024/10/22 07:07:28+00,217277828"
